Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;32,411;120;293;1,421;12.8
Bavaria;42,997;205;329;1,926;14.7
Berlin;6,010;34;160;154;4.1
Brandenburg;2,914;9;116;122;4.9
Bremen;893;18;131;30;4.4
Hamburg;4,636;5;252;166;9.0
Hesse;8,549;25;136;372;5.9
Mecklenburg-Western;;;;;
;699;1;43;18;1.1
Pomerania;;;;;
Lower Saxony;10,325;42;129;456;5.7
North Rhine-Westphalia;33,560;132;187;1,290;7.2
Rhineland-Palatinate;6,150;17;151;177;4.3
Saarland;2,608;3;263;139;14.0
Saxony;4,702;6;115;167;4.1
Saxony-Anhalt;1,578;2;71;45;2.0
Schleswig-Holstein;2,788;50;96;113;3.9
Thuringia;2,355;10;110;96;4.5
Total;163,175;679;196;6,692;8.1
