7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 34,965;;7.0;;316 156;;;1.4;;;1.798;;16.2
Bavaria 47,479;56;;;363 322;;;2.5;;;2.531;;19.4
Berlin 7,082;40;;;189 200;;;5.3;;;206;;5.5
Brandenburg 3,309;;7.0;;132 20;;;0.8;;;160;;6.4
Bremen 1,547;15;;;227 100;;;14.6;;;43;;6.3
Hamburg 5,121;;4.0;;278 24;;;1.3;;;254;;13.8
Hesse 10,256;19;;;164 154;;;2.5;;;485;;7.7
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 777;*-3;;;48 16;;;1.0;;;20;;1.2
Lower Saxony 12,626;25;;;158 452;;;5.7;;;607;;7.6
North Rhine-;;;;;;;;;;;;
Westphalia 38,845;102;;;217 656;;;3.7;;;1.636;;9.1
Rhineland-Palatinate 6,810;23;;;167 94;;;2.3;;;231;;5.7
Saarland 2,763;;9.0;;279 29;;;2.9;;;167;;16.9
Saxony 5,337;;4.0;;131 30;;;0.7;;;217;;5.3
Saxony-Anhalt 1,721;;1.0;;78 10;;;0.5;;;56;;2.5
Schleswig-Holstein 3,115;;1.0;;108 10;;;0.3;;;148;;5.1
Thuringia 3,108;;8.0;;145 76;;;3.5;;;170;;7.9
Total 184,861;318;;;222 2,349;;;2.8;;;8,729;;10.5
