Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg*;33,190;-97;300;1,545;14.0
Bavaria;44,368;103;339;2,155;16.5
Berlin;6,272;11;167;165;4.4
Brandenburg;3,106;5;124;134;5.3
Bremen;1,055;12;154;34;5.0
Hamburg;4,780;8;260;204;11.1
Hesse;9,012;14;144;412;6.6
Mecklenburg-Western;;;;;
;728;2;45;19;1.2
Pomerania;;;;;
Lower Saxony;10,854;27;136;498;6.2
North Rhine-Westphalia;35,132;168;196;1,437;8.0
Rhineland-Palatinate;6,313;22;155;195;4.8
Saarland;2,665;2;269;142;14.3
Saxony;4,915;29;121;187;4.6
Saxony-Anhalt;1,643;3;74;48;2.2
Schleswig-Holstein;2,957;19;102;124;4.3
Thuringia;2,585;29;121;118;5.5
Total;169,575;357;204;7,417;8.9
