Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;33,851;181;306;1,628;14.7
Bavaria;45,143;163;345;2,260;17.3
Berlin;6,397;55;171;177;4.7
Brandenburg;3,158;23;126;148;5.9
Bremen;1,129;25;165;37;5.4
Hamburg;4,981;5;271;228;12.4
Hesse;9,204;35;147;429;6.8
Mecklenburg-Western;;;;;
;740;1;46;20;1.2
Pomerania;;;;;
Lower Saxony;11,087;84;139;534;6.7
North Rhine-Westphalia;35,967;226;201;1,493;8.3
Rhineland-Palatinate;6,413;31;157;213;5.2
Saarland;2,684;7;271;147;14.8
Saxony;5,061;30;124;195;4.8
Saxony-Anhalt;1,668;12;76;54;2.4
Schleswig-Holstein;2,988;6;103;126;4.3
Thuringia;2,681;29;125;135;6.3
Total;173,152;913;208;7,824;9.4
