Unnamed: 0;Unnamed: 1;Electronically submitted cases;Unnamed: 3
Federal State;;;Number of
;Number;Difference cases/100,000 pop,;
;;;deaths
Baden-Württemberg;1,479;+ 417 13.4;2
Bavaria;1,109;+ 144 8.5;4
Berlin;345;+ 45 9.2;0
Brandenburg;73;+ 8 2.9;0
Bremen;57;+ 1 8.3;0
Hamburg;310;+ 55 16.8;0
Hesse;373;+ 132 6.0;0
Mecklenburg-Western Pomerania;45;+ 9 2.8;0
Lower Saxony;325;+ 53 4.1;0
North Rhine-Westphalia;2,105;+ 564 11.7;6
Rhineland-Palatinate;442;+ 117 10.8;0
Saarland;75;+ 43 7.6;0
Saxony;182;+ 79 4.5;0
Saxony-Anhalt;58;+ 18 2.6;0
Schleswig-Holstein;127;+ 23 4.4;0
Thuringia;51;+ 15 2.4;0
Total;7,156;+ 1,723 8.6;12
