7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 35,090;;0.0;;317 123;;;1.1;;;1,805;;16.3
Bavaria 47,626;14.0;;;364 270;;;2.1;;;2,541;;19.4
Berlin 7,282;30.0;;;194 269;;;7.2;;;208;;5.5
Brandenburg 3,326;;0.0;;132 28;;;1.1;;;163;;6.5
Bremen 1,589;;8.0;;233 71;;;10.4;;;46;;6.7
Hamburg 5,139;;0.0;;279 21;;;1.1;;;255;;13.8
Hesse 10,324;;3.0;;165 115;;;1.8;;;491;;7.8
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 782;;1.0;;49;8.0;;0.5;;;20;;1.2
Lower Saxony 12,874;52.0;;;161 332;;;4.2;;;614;;7.7
North Rhine-;;;;;;;;;;;;
Westphalia 39,233;96.0;;;219 600;;;3.3;;;1,645;;9.2
Rhineland-Palatinate 6,840;;2.0;;167 50;;;1.2;;;231;;5.7
Saarland 2,772;;2.0;;280 24;;;2.4;;;168;;17.0
Saxony 5,346;;1.0;;131 17;;;0.4;;;218;;5.3
Saxony-Anhalt 1,756;22.0;;;80 37;;;1.7;;;57;;2.6
Schleswig-Holstein 3,121;;1.0;;108 10;;;0.3;;;151;;5.2
Thuringia 3,169;15.0;;;148 78;;;3.6;;;174;;8.1
Total 186,269;247.0;;;224 2,053;;;2.5;;;8,787;;10.6
