https://corona.rki.de
""
Table 1: Number and cumulative incidence (per 100,000 population) of notified laboratory-confirmed COVID-19 cases and d
per federal state, Germany (09/04/2020, 12:00 AM)
Total Number Number of Cases/100,000 Number of
Federal State
of cases new cases pop. deaths
Baden-Wuerttemberg 21,603 923 195 519
Bavaria 28,827 1,263 220 635
Berlin 4,202 174 112 37
Brandenburg 1,578 106 63 30
Bremen 445 21 65 11
Hamburg 3,320 155 180 44
Hesse 5,242 277 84 100
Mecklenburg-Western Pomerania  572 17 36 11
Lower Saxony 6,804 419 85 141
North Rhine-Westphalia 21,961 1,032 122 384
Rhineland-Palatinate 4,336 188 106 50
Saarland 1,693 56 171 23
Saxony 3,261 117 80 52
Saxony-Anhalt 1,075 55 49 16
Schleswig-Holstein 1,932 105 67 34
Thuringia 1,351 66 63 20
Total 108,202 4,974 130 2,107
