7-day Total Number Federal State Number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 34,500;34.0;;;312 311;;;2.8;;;1,724;;15.6
Bavaria 46,458;2.0;;;355 631;;;4.8;;;2,404;;18.4
Berlin 6,673;21.0;;;178 128;;;3.4;;;193;;5.1
Brandenburg 3,246;10.0;;;129 33;;;1.3;;;154;;6.1
Bremen 1,322;9.0;;;194 65;;;9.5;;;42;;6.1
Hamburg 5,072;3.0;;;275 23;;;1.2;;;242;;13.1
Hesse 9,860;56.0;;;157 314;;;5.0;;;466;;7.4
Mecklenburg-Western  760;0.0;;;47 9;;;0.6;;;20;;1.2
Pomerania;;;;;;;;;;;;
Lower Saxony 11,678;32.0;;;146 330;;;4.1;;;578;;7.2
North Rhine- 37,541;146.0;;;209 712;;;4.0;;;1,577;;8.8
Westphalia;;;;;;;;;;;;
Rhineland-Palatinate 6,611;11.0;;;162 67;;;1.6;;;229;;5.6
Saarland 2,730;3.0;;;276 21;;;2.1;;;160;;16.2
Saxony 5,247;11.0;;;129 69;;;1.7;;;208;;5.1
Saxony-Anhalt 1,698;0.0;;;77 12;;;0.5;;;55;;2.5
Schleswig-Holstein 3,070;3.0;;;106 53;;;1.8;;;140;;4.8
Thuringia 2,898;21.0;;;135 109;;;5.1;;;157;;7.3
Total 179,364;362.0;;;216 2,887;;;3.5;;;8,349;;10.0
