Table 1: Number and cumulative incidence (per 100,000 population) of notified laboratory-confirmed COVID-19 cases and dea
per federal state, Germany (26/04/2020, 12:00 AM).
Total Number Number of Cases/100,000 Number of
Federal State
of cases new cases pop. deaths
Baden-Wuerttemberg 30.761 592 278 1.237
Bavaria 40.912 365 313 1.596
Berlin 5.600 75 149 123
Brandenburg 2.694 67 107 100
Bremen 739 20 108 27
Hamburg 4.429 29 241 140
Hesse 7.946 109 127 315
Mecklenburg-Western Pomerania  673 6 42 16
Lower Saxony 9.785 94 123 384
North Rhine-Westphalia 31.669 204 177 1.096
Rhineland-Palatinate 5.835 68 143 147
Saarland 2.482 14 251 107
Saxony 4.428 22 109 147
Saxony-Anhalt 1.494 14 68 36
Schleswig-Holstein 2.630 18 91 96
Thuringia 2.098 40 98 73
Total 154.175 1.737 185 5.640
