Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;32,291;145;292;1,412;12.8
Bavaria;42,792;134;327;1,910;14.6
Berlin;5,976;33;159;154;4.1
Brandenburg;2,905;19;116;122;4.9
Bremen;875;4;128;30;4.4
Hamburg;4,631;22;252;164;8.9
Hesse;8,524;38;136;370;5.9
Mecklenburg-Western;;;;;
;698;3;43;18;1.1
Pomerania;;;;;
Lower Saxony;10,283;37;129;453;5.7
North Rhine-Westphalia;33,428;212;186;1,287;7.2
Rhineland-Palatinate;6,133;34;150;176;4.3
Saarland;2,605;8;263;138;13.9
Saxony;4,696;79;115;165;4.0
Saxony-Anhalt;1,576;5;71;44;2.0
Schleswig-Holstein;2,738;10;95;113;3.9
Thuringia;2,345;10;109;93;4.3
Total;162,496;793;195;6,649;8.0
