Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg*;33,359;169*;301;1,568;14.2
Bavaria;44,593;225;341;2,182;16.7
Berlin;6,274;2;167;165;4.4
Brandenburg;3,111;5;124;136;5.4
Bremen;1,058;3;155;35;5.1
Hamburg;4,960;180*;269;216;11.7
Hesse;9,031;19;144;415;6.6
Mecklenburg-Western;;;;;
;729;1;45;20;1.2
Pomerania;;;;;
Lower Saxony;10,895;41;136;507;6.4
North Rhine-Westphalia;35,333;201;197;1,456;8.1
Rhineland-Palatinate;6,355;42;156;206;5.0
Saarland;2,665;0;269;144;14.5
Saxony;4,947;32;121;190;4.7
Saxony-Anhalt;1,648;5;75;50;2.3
Schleswig-Holstein;2,956;-1*;102;125;4.3
Thuringia;2,594;9;121;118;5.5
Total;170,508;933;205;7,533;9.1
