Unnamed: 0,Number of manually,Electronically submitted cases
Federal State,,
,reported cases,Number cases/100.000 pop.
Baden-Württemberg,827,524 4.7
Bavaria,886,804 6.1
Berlin,265,265 7.1
Brandenburg,84,56 2.2
Bremen,53,53 7.8
Hamburg,162,162 8.8
Hesse,286,207 3.3
Mecklenburg-Western Pomerania,50,33 2.1
Lower Saxony,287,238 3.0
North Rhine-Westphalia,"1,407","1,407 7.8"
Rhineland-Palatinate,168,168 4.1
Saarland,32,32 3.2
Saxony,130,91 2.2
Saxony-Anhalt,47,40 1.8
Schleswig-Holstein,103,79 2.7
Thuringia,51,36 1.7
Total,"4,838","4,195 5.0"
