7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 35,002;37.0;;;316 167;;;1.5;;;1,801;;16.3
Bavaria 47,536;57.0;;;364 336;;;2.6;;;2,536;;19.4
Berlin 7,138;56.0;;;190 204;;;5.4;;;208;;5.5
Brandenburg 3,352;43.0;;;133 40;;;1.6;;;161;;6.4
Bremen 1,565;18.0;;;229 101;;;14.8;;;43;;6.3
Hamburg 5,125;;4.0;;278 17;;;0.9;;;254;;13.8
Hesse 10,296;40.0;;;164 161;;;2.6;;;489;;7.8
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 778;;1.0;;48 15;;;0.9;;;20;;1.2
Lower Saxony 12,727;101.0;;;159 424;;;5.3;;;610;;7.6
North Rhine-;;;;;;;;;;;;
Westphalia 38,983;138.0;;;217 694;;;3.9;;;1,641;;9.2
Rhineland-Palatinate 6,827;17.0;;;167 95;;;2.3;;;231;;5.7
Saarland 2,766;;3.0;;279 29;;;2.9;;;167;;16.9
Saxony 5,346;;9.0;;131 29;;;0.7;;;219;;5.4
Saxony-Anhalt 1,728;;7.0;;78 17;;;0.8;;;56;;2.5
Schleswig-Holstein 3,117;;2.0;;108 12;;;0.4;;;148;;5.1
Thuringia 3,130;22.0;;;146 80;;;3.7;;;171;;8.0
Total 185,416;555.0;;;223 2,421;;;2.9;;;8,755;;10.5
