Total Number Federal State Number of deaths of cases;Unnamed: 1;Number of new cases;Unnamed: 3;Unnamed: 4;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 6;Unnamed: 7;7-day incidence;Unnamed: 9;Unnamed: 10;Unnamed: 11;100,000 pop.
Baden-Wuerttemberg 34,345;;171.0;;;310 374;;;3.4;;1,692;;15.3
Bavaria 46,132;;108.0;;;353 674;;;5.2;;2,367;;18.1
Berlin 6,614;;29.0;;;176 172;;;4.6;;190;;5.1
Brandenburg 3,213;;2.0;;;128 26;;;1.0;;154;;6.1
Bremen 1,296;;5.0;;;190 98;;;14.3;;41;;6.0
Hamburg 5,063;;4.0;;;275 23;;;1.2;;240;;13.0
Hesse 9,670;;14.0;;;154 371;;;5.9;;458;;7.3
Mecklenburg-Western  763;;0.0;;;47 15;;;0.9;;20;;1.2
Pomerania;;;;;;;;;;;;
Lower Saxony 11,521;;101.0;;;144 336;;;4.2;;571;;7.2
North Rhine- 37,139;;129.0;;;207 921;;;5.1;;1,555;;8.7
Westphalia;;;;;;;;;;;;
Rhineland-Palatinate 6,582;;16.0;;;161 110;;;2.7;;226;;5.5
Saarland 2,709;;2.0;;;273 18;;;1.8;;157;;15.9
Saxony 5,219;;22.0;;;128 107;;;2.6;;204;;5.0
Saxony-Anhalt 1,692;;0.0;;;77 18;;;0.8;;54;;2.4
Schleswig-Holstein 3,062;;23.0;;;106 63;;;2.2;;136;;4.7
Thuringia 2,830;;12.0;;;132 115;;;5.4;;151;;7.0
Total 177,850;;638.0;;;214 3,441;;;4.1;;8,216;;9.9
