Unnamed: 0,Number of manually,Electronically submitted cases
Federal State,,
,reported cases,Number cases/100.000 pop.
Baden-Württemberg,454,"401 3,6"
Bavaria,558,"412 3,2"
Berlin,174,"174 4,6"
Brandenburg,44,"44 1,8"
Bremen,42,"42 6,1"
Hamburg,99,"99 5,4"
Hesse,148,"94 1,5"
Mecklenburg-Western,,21
Pomerania,33,"1,3"
Lower Saxony,230,"134 1,7"
North Rhine-Westphalia,936,"887 4,9"
Rhineland-Palatinate,102,"102 2,5"
Saarland,40,"30 3,0"
Saxony,83,"46 1,1"
Saxony-Anhalt,42,"29 1,3"
Schleswig-Holstein,48,"45 1,6"
Thuringia,29,"16 0,7"
Total,3.062,"2.576 3,1"
