https://corona.rki.de;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
;;;;
;Total Number;Number of;Cases/100,000;Number of
Federal State;;;;
;of cases;new cases;pop.;deaths
Baden-Wuerttemberg;25.040;470;226;711
Bavaria;33.569;554;257;872
Berlin;4.668;67;125;56
Brandenburg;1.916;36;76;40
Bremen;492;6;72;20
Hamburg;3.808;38;207;59
Hesse;6.183;69;99;147
Mecklenburg-Western Pomerania;619;1;38;11
Lower Saxony;7.885;162;99;211
North Rhine-Westphalia;25.300;417;141;545
Rhineland-Palatinate;4.880;70;119;70
Saarland;2.112;33;213;52
Saxony;3.751;96;92;70
Saxony-Anhalt;1.207;14;55;25
Schleswig-Holstein;2.164;30;75;49
Thuringia;1.504;19;70;31
Total;125.098;2.082;150;2.969
