Unnamed: 0;Total Number;Number of;Cases/100,000;Number of.1;Number of deaths/
Federal State;;;;;
;of cases;new cases;pop.;deaths;100,000 pop.
Baden-Wuerttemberg;31,336;140;283;1,299;11.7
Bavaria;41,830;424;320;1,754;13.4
Berlin;5,734;65;153;137;3.7
Brandenburg;2,768;21;110;109;4.3
Bremen;797;38;117;29;4.2
Hamburg;4,525;20;246;153;8.3
Hesse;8,184;158;131;346;5.5
Mecklenburg-Western;;;;;
;687;12;43;17;1.1
Pomerania;;;;;
Lower Saxony;9,972;46;125;406;5.1
North Rhine-Westphalia;32,429;245;181;1,200;6.7
Rhineland-Palatinate;5,982;54;146;161;3.9
Saarland;2,514;5;254;129;13.0
Saxony;4,509;19;111;153;3.8
Saxony-Anhalt;1,525;5;69;39;1.8
Schleswig-Holstein;2,679;26;92;103;3.6
Thuringia;2,170;26;101;80;3.7
Total;157,641;1,304;190;6,115;7.4
