7-day Total Number Federal State Number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 34,813;17.0;;;314 214;;;1.9;;;1,760;;15.9
Bavaria 47,138;109.0;;;360 442;;;3.4;;;2,466;;18.9
Berlin 6,874;35.0;;;183 182;;;4.9;;;198;;5.3
Brandenburg 3,273;-1.0;;;130 24;;;1.0;;;156;;6.2
Bremen 1,447;11.0;;;212 124;;;18.2;;;43;;6.3
Hamburg 5,098;;0.0;;277 13;;;0.7;;;253;;13.7
Hesse 10,080;20.0;;;161 197;;;3.1;;;480;;7.7
Mecklenburg-Western;;;;;;;;;;;;
Pomerania  761;;0.0;;47;2.0;;0.1;;;20;;1.2
Lower Saxony 12,114;49.0;;;152 384;;;4.8;;;596;;7.5
North Rhine-;;;;;;;;;;;;
Westphalia 38,185;85.0;;;213 577;;;3.2;;;1,607;;9.0
Rhineland-Palatinate 6,712;;8.0;;164 65;;;1.6;;;230;;5.6
Saarland 2,735;;5.0;;276 23;;;2.3;;;163;;16.5
Saxony 5,305;-4.0;;;130 43;;;1.1;;;212;;5.2
Saxony-Anhalt 1,707;;0.0;;77;7.0;;0.3;;;55;;2.5
Schleswig-Holstein 3,106;;3.0;;107 33;;;1.1;;;146;;5.0
Thuringia 3,022;;5.0;;141 95;;;4.4;;;166;;7.7
Total 182,370;342.0;;;219 2,425;;;2.9;;;8,551;;10.3
