Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;32,762;186;296;1,497;13.5
Bavaria;43,658;287;334;2,050;15.7
Berlin;6,149;57;164;162;4.3
Brandenburg;2,999;30;119;129;5.1
Bremen;963;47;141;32;4.7
Hamburg;4,704;40;255;194;10.5
Hesse;8,736;94;139;396;6.3
Mecklenburg-Western;;;;;
;715;4;44;19;1.2
Pomerania;;;;;
Lower Saxony;10,564;111;132;478;6.0
North Rhine-Westphalia;34,249;272;191;1,372;7.7
Rhineland-Palatinate;6,213;22;152;189;4.6
Saarland;2,655;28;268;143;14.4
Saxony;4,836;52;119;181;4.4
Saxony-Anhalt;1,602;12;73;48;2.2
Schleswig-Holstein;2,834;19;98;120;4.1
Thuringia;2,452;23;114;109;5.1
Total;166,091;1,284;200;7,119;8.6
