7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 35,150;60.0;;;318 148;;;1.3;;;1,808;;16.3
Bavaria 47,690;48.0;;;365 253;;;1.9;;;2,540;;19.4
Berlin 7,369;47.0;;;197 318;;;8.5;;;208;;5.5
Brandenburg 3,334;;5.0;;133 31;;;1.2;;;163;;6.5
Bremen 1,593;;1.0;;233 60;;;8.8;;;48;;7.0
Hamburg 5,147;;3.0;;280 25;;;1.4;;;255;;13.8
Hesse 10,371;47.0;;;166 119;;;1.9;;;495;;7.9
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 784;;2.0;;49 10;;;0.6;;;20;;1.2
Lower Saxony 12,950;41.0;;;162 323;;;4.0;;;614;;7.7
North Rhine-;;;;;;;;;;;;
Westphalia 39,415;108.0;;;220 654;;;3.6;;;1,648;;9.2
Rhineland-Palatinate 6,846;;5.0;;168 39;;;1.0;;;231;;5.7
Saarland 2,773;;1.0;;280 15;;;1.5;;;168;;17.0
Saxony 5,349;;2.0;;131 17;;;0.4;;;220;;5.4
Saxony-Anhalt 1,771;;3.0;;80 51;;;2.3;;;57;;2.6
Schleswig-Holstein 3,122;;1.0;;108;8.0;;0.3;;;151;;5.2
Thuringia 3,175;;4.0;;148 71;;;3.3;;;174;;8.1
Total 186,839;378.0;;;225 2,142;;;2.6;;;8,800;;10.6
