7-day Total Number Federal State Number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 34,870;40.0;;;315 131;;;1,2;;;1,778;;16.1
Bavaria 47,268;59.0;;;361 369;;;2,8;;;2,481;;19.0
Berlin 6,946;45.0;;;185 187;;;5,0;;;200;;5.3
Brandenburg 3,288;8.0;;;131 22;;;0,9;;;156;;6.2
Bremen 1,498;36.0;;;219 123;;;18,0;;;44;;6.4
Hamburg 5,107;11.0;;;277 25;;;1,4;;;253;;13.7
Hesse 10,163;34.0;;;162 172;;;2,7;;;482;;7.7
Mecklenburg-Western;;;;;;;;;;;;
Pomerania;;;;;;;;;;;;
764;1.0;;;47 4;;;0,2;;;20;;1.2
Lower Saxony 12,277;95.0;;;154 354;;;4,4;;;604;;7.6
North Rhine-;;;;;;;;;;;;
Westphalia;;;;;;;;;;;;
38,439;142.0;;;214 576;;;3,2;;;1,617;;9.0
Rhineland-Palatinate 6,732;13.0;;;165 57;;;1,4;;;230;;5.6
Saarland 2,738;1.0;;;276 19;;;1,9;;;166;;16.8
Saxony 5,315;3.0;;;130 21;;;0,5;;;212;;5.2
Saxony-Anhalt 1,712;1.0;;;78 8;;;0,4;;;55;;2.5
Schleswig-Holstein 3,103;0.0;;;107 27;;;0,9;;;146;;5.0
Thuringia 3,051;18.0;;;142 63;;;2,9;;;169;;7.9
Total 183,271;507.0;;;220 2,158;;;2,6;;;8,613;;10.4
