Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;33,287;182;301;1.542;13,9
;44,265;96;339;2.153;16.5
Bavaria;;;;;
Berlin;6,261;19;167;165;4.4
Brandenburg;3,101;3;123;134;5.3
Bremen;1,043;19;153;32;4.7
Hamburg;4,772;0;259;204;11.1
Hesse;8,998;82;144;411;6.6
Mecklenburg-Western;726;4;45;19;1.2
Pomerania;;;;;
Lower Saxony;10,827;24;136;498;6.2
North Rhine-Westphalia;34,964;147;195;1,425;7.9
Rhineland-Palatinate;6,291;9;154;195;4.8
Saarland;2,663;3;269;142;14.3
Saxony;4,886;13;120;187;4.6
Saxony-Anhalt;1,640;3;74;48;2.2
Schleswig-Holstein;2,938;40;101;123;4.2
Thuringia;2,556;23;119;117;5.5
Total;169,218;667;204;7,395;8.9
