Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;33,893;42;306;1,644;14.9
Bavaria;45,340;197;347;2,273;17.4
Berlin;6,428;31;171;181;4.8
Brandenburg;3,169;11;126;149;5.9
Bremen;1,150;21;168;37;5.4
Hamburg;5,017;36;272;231;12.5
Hesse;9,261;57;148;432;6.9
Mecklenburg-Western;;;;;
;746;6;46;20;1.2
Pomerania;;;;;
Lower Saxony;11,092;5;139;535;6.7
North Rhine-Westphalia;36,065;98;201;1,500;8.4
Rhineland-Palatinate;6,449;36;158;216;5.3
Saarland;2,688;4;271;149;15.0
Saxony;5,089;28;125;197;4.8
Saxony-Anhalt;1,676;8;76;54;2.4
Schleswig-Holstein;2,998;10;103;126;4.3
Thuringia;2,711;30;126;137;6.4
Total;173,772;620;209;7,881;9.5
