Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;33,950;57;307;1,648;14.9
Bavaria;45,427;87;347;2,283;17.5
Berlin;6,447;19;172;182;4.9
Brandenburg;3,171;2;126;149;5.9
Bremen;1,164;14;170;37;5.4
Hamburg;5,029;12;273;232;12.6
Hesse;9,317;56;149;435;6.9
Mecklenburg-Western;;;;;
;748;2;46;20;1.2
Pomerania;;;;;
Lower Saxony;11,155;63;140;544;6.8
North Rhine-Westphalia;36,286;221;202;1,505;8.4
Rhineland-Palatinate*;6,449;0;158;216;5.3
Saarland;2,696;8;272;149;15.0
Saxony;5,115;26;125;196;4.8
Saxony-Anhalt;1,676;0;76;54;2.4
Schleswig-Holstein;3,000;2;104;126;4.3
Thuringia;2,725;14;127;138;6.4
Total;174,355;583;210;7,914;9.5
