https://corona.rki.de
Table 1: Distribution of the laboratory-confirmed COVID-19-cases per federal state in Germany (27/03/2020, 12:00 A
Electronically submitted cases
Federal State Cases/100,000 Number of
Number Difference
pop. deaths
Baden-Wuerttemberg 8,161 878 74 70
Bavaria 9,481 1,488 73 55
Berlin 1,955 299 52 8
Brandenburg 537 60 21 1
Bremen 241 30 35 1
Hamburg 1,693 428 92 2
Hesse 2,323 166 37 7
Mecklenburg-Western
259 15 16
Pomerania
Lower Saxony 2,810 463 35 10
North Rhine-Westphalia 9,235 1,311 51 72
Rhineland-Palatinate 1,971 155 48 8
Saarland 505 72 51 2
Saxony 1,305 164 32 7
Saxony-Anhalt 458 40 21 2
Schleswig-Holstein 812 137 28 4
Thuringia 542 74 25 4
Total 42,288 5,780 51 253
