Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;32,482;71;293;1,452;13.1
Bavaria;43,162;165;330;1,949;14.9
Berlin;6,042;32;161;154;4.1
Brandenburg;2,940;26;117;123;4.9
Bremen;895;2;131;31;4.5
Hamburg;4,644;8;252;172;9.3
Hesse;8,585;36;137;381;6.1
Mecklenburg-Western;;;;;
;703;4;44;19;1.2
Pomerania;;;;;
Lower Saxony;10,380;55;130;463;5.8
North Rhine-Westphalia;33,728;168;188;1,332;7.4
Rhineland-Palatinate;6,160;10;151;182;4.5
Saarland;2,618;10;264;139;14.0
Saxony;4,745;43;116;171;4.2
Saxony-Anhalt;1,585;7;72;46;2.1
Schleswig-Holstein;2,799;11;97;118;4.1
Thuringia;2,392;37;112;99;4.6
Total;163,860;685;197;6,831;8.2
