Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;33,670;152;304;1,608;14.5
Bavaria;44,980;178;344;2,229;17.0
Berlin;6,342;44;169;173;4.6
Brandenburg;3,135;10;125;138;5.5
Bremen;1,104;27;162;37;5.4
Hamburg;4,976;4;270;228;12.4
Hesse;9,169;82;146;423;6.8
Mecklenburg-Western;;;;;
;739;3;46;20;1.2
Pomerania;;;;;
Lower Saxony;11,003;100;138;524;6.6
North Rhine-Westphalia;35,741;186;199;1,483;8.3
Rhineland-Palatinate;6,382;22;156;212;5.2
Saarland;2,677;10;270;145;14.6
Saxony;5,031;69;123;195;4.8
Saxony-Anhalt;1,656;6;75;52;2.4
Schleswig-Holstein;2,982;10;103;125;4.3
Thuringia;2,652;30;124;131;6.1
Total;172,239;933;207;7,723;9.3
