Table 1: Number and cumulative incidence (per 100,000 population) of notified laboratory-confirmed COVID-19 cases and dea
per federal state, Germany (22/04/2020, 12:00 AM).
Total Number Number of Cases/100,000 Number of
Federal State
of cases new cases pop. deaths
Baden-Wuerttemberg 28,898 186 261 1,063
Bavaria 38,814 504 297 1,424
Berlin 5,312 75 142 105
Brandenburg 2,389 114 95 74
Bremen 624 15 91 26
Hamburg 4,204 0 228 91
Hesse 7,380 149 118 265
Mecklenburg-Western Pomerania  656 1 41 15
Lower Saxony 9,236 138 116 328
North Rhine-Westphalia 30,185 796 168 964
Rhineland-Palatinate 5,593 32 137 122
Saarland 2,367 39 239 97
Saxony 4,273 20 105 122
Saxony-Anhalt 1,395 12 63 33
Schleswig-Holstein 2,496 82* 86 79
Thuringia 1,872 74 87 71
Total 145,694 2,237 175 4,879
