Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;7-day;Unnamed: 6;Unnamed: 7
;Total;Number;;Cases in;;;Number of
;;;Cases/;;incidence;Number;
Federal State;Number;of new;;the last;;;deaths/
;;;100,000 pop.;;per 100,000;of deaths;
;of cases;cases;;7 days;;;100,000 pop.
;;;;;pop.;;
Baden-Wuerttemberg;34,830;17;315;148;1,3;1,761;15.9
Bavaria;47,209;71;361;386;3,0;2,479;19.0
Berlin;6,901;27;184;168;4,5;200;5.3
Brandenburg;3,280;7;131;24;1,0;156;6.2
Bremen;1,462;15;214;113;16,5;44;6.4
Hamburg;5,096;-2;277;14;0,8;253;13.7
Hesse;10,129;49;162;195;3,1;482;7.7
Mecklenburg-Western;;;;;;;
;763;2;47;4;0,2;20;1.2
Pomerania;;;;;;;
Lower Saxony;12,182;68;153;330;4,1;601;7.5
North Rhine-;;;;;;;
;38,297;112;214;554;3,1;1,611;9.0
Westphalia;;;;;;;
Rhineland-Palatinate;6,719;7;164;52;1,3;230;5.6
Saarland;2,737;2;276;21;2,1;164;16.6
Saxony;5,312;7;130;31;0,8;212;5.2
Saxony-Anhalt;1,711;4;77;8;0,4;55;2.5
Schleswig-Holstein;3,103;-3;107;33;1,1;146;5.0
Thuringia;3,033;11;142;81;3,8;167;7.8
Total;182,764;394;220;2,162;2,6;8,581;10.3
