Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;32,898;136;297;1,515;13.7
;43,905;247;336;2,114;16.2
Bavaria;;;;;
Berlin;6,209;60;166;163;4.3
Brandenburg;3,037;38;121;131;5.2
Bremen;997;34;146;32;4.7
Hamburg;4,753;49;258;201;10.9
Hesse;8,850;114;141;403;6.4
Mecklenburg-Western;718;3;45;19;1.2
Pomerania;;;;;
Lower Saxony;10,686;122;134;493;6.2
North Rhine-Westphalia;34,522;273;193;1,397;7.8
Rhineland-Palatinate;6,241;28;153;192;4.7
Saarland;2,658;3;268;140;14.1
Saxony;4,839;3;119;184;4.5
Saxony-Anhalt;1,615;13;73;48;2.2
Schleswig-Holstein;2,860;26;99;122;4.2
Thuringia;2,512;60;117;112;5.2
Total;167,300;1,209;201;7,266;8.7
