7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-;;;;;;;;;;;;
Wuerttemberg* 35,090;;0.0;;317 110;;;1.0;;;1,805;;16.3
Bavaria 47,642;16.0;;;364 249;;;1.9;;;2,541;;19.4
Berlin 7,322;40.0;;;195 301;;;8.0;;;208;;5.5
Brandenburg 3,329;;3.0;;133 31;;;1.2;;;163;;6.5
Bremen 1,592;;3.0;;233 60;;;8.8;;;48;;7.0
Hamburg 5,144;;5.0;;279 25;;;1.4;;;255;;13.8
Hesse* 10,324;;0.0;;165 107;;;1.7;;;491;;7.8
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 782;;0.0;;49;8.0;;0.5;;;20;;1.2
Lower Saxony 12,909;35.0;;;162 336;;;4.2;;;614;;7.7
North Rhine-;;;;;;;;;;;;
Westphalia 39,307;74.0;;;219 634;;;3.5;;;1,646;;9.2
Rhineland-Palatinate 6,841;;1.0;;167 50;;;1.2;;;231;;5.7
Saarland 2,772;;0.0;;280 23;;;2.3;;;168;;17.0
Saxony 5,347;;1.0;;131 18;;;0.4;;;219;;5.4
Saxony-Anhalt 1,768;12.0;;;80 48;;;2.2;;;57;;2.6
Schleswig-Holstein 3,121;;0.0;;108;9.0;;0.3;;;151;;5.2
Thuringia 3,171;;2.0;;148 74;;;3.5;;;174;;8.1
Total 186,461;192.0;;;224 2,083;;;2.5;;;8,791;;10.6
