Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Cases in;7-day;Unnamed: 6;Unnamed: 7;Number of
;;Number of;Cases/;;;Number;of;
Federal State;Number of;;;the last;incidence per;;;deaths/ 100,000
;;new cases;100,000 pop.;;;deaths;;
;cases;;;7 days;100,000 pop.;;;pop.
Baden-Wuerttemberg;34,784;66;314;282;2,5;1,752;;15.8
Bavaria;47,004;87;359;606;4,6;2,451;;18.7
Berlin;6,816;16;182;168;4,5;198;;5.3
Brandenburg;3,273;2;130;34;1,4;155;;6.2
Bremen*;1,398;0;205;87;12,7;42;;6.1
Hamburg;5,089;2;276;9;0,5;253;;13.7
Hesse;10,047;14;160;269;4,3;480;;7.7
Mecklenburg-Western;;;;;;;;
;761;0;47;3;0,2;20;;1.2
Pomerania;;;;;;;;
Lower Saxony;12,043;51;151;415;5,2;593;;7.4
North Rhine-;;;;;;;;
;38,046;46;212;719;4,0;1,598;;8.9
Westphalia;;;;;;;;
Rhineland-Palatinate;6,703;9;164;106;2,6;230;;5.6
Saarland;2,724;0;275;20;2,0;163;;16.5
Saxony;5,309;5;130;67;1,6;214;;5.2
Saxony-Anhalt;1,706;1;77;12;0,5;55;;2.5
Schleswig-Holstein;3,097;3;107;30;1,0;145;;5.0
Thuringia;3,015;31;141;142;6,6;162;;7.6
Total;181,815;333;219;2,969;3,6;8,511;;10.2
