Unnamed: 0;Total;Number;Unnamed: 3;Cases in;Unnamed: 5;Unnamed: 6;Number of
;;;Cases/;;7-day;Number;
Federal State;Number;of new;;the last;;;deaths/
;;;100,000 pop.;;incidence;of deaths;
;of cases;cases;;7 days;;;100,000 pop.
Baden-Wuerttemberg;34,431;32;311;378;3.4;1,698;15.3
Bavaria;46,326;120;354;712;5.4;2,382;18.2
Berlin;6,642;5;177;177;4.7;191;5.1
Brandenburg;3,214;0;128;17;0.7;154;6.1
Bremen;1,312;13;192;85;12.4;41;6.0
Hamburg;5,069;3;275;24;1.3;241;13.1
Hesse;9,770;8;156;361;5.8;460;7.3
Mecklenburg-Western;;;;;;;
;760;0;47;10;0.6;20;1.2
Pomerania;;;;;;;
Lower Saxony;11,578*;0*;145*;364*;4.6*;572*;7.2*
North Rhine-;;;;;;;
;37,298;75;208;850;4.7;1,565;8.7
Westphalia;;;;;;;
Rhineland-Palatinate;6,596;6;161;96;2.4;228;5.6
Saarland;2,716;3;274;21;2.1;157;15.9
Saxony;5,231;10;128;101;2.5;205;5.0
Saxony-Anhalt;1,694;0;77;15;0.7;54;2.4
Schleswig-Holstein;3,062;0;106;60;2.1;137;4.7
Thuringia;2,871;14;134;124;5.8;152;7.1
Total;178,570;289;215;3,395;4.1;8,257;9.9
