Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;32,146;227;290;1,402;12.7
Bavaria;42,658;169;326;1,885;14.4
Berlin;5,943;56;159;152;4.1
Brandenburg;2,886;14;115;122;4.9
Bremen;871;12;128;30;4.4
Hamburg;4,609;5;250;163;8.9
Hesse;8,486;110;135;364;5.8
Mecklenburg-Western;;;;;
;695;2;43;18;1.1
Pomerania;;;;;
Lower Saxony;10,246;105;128;451;5.6
North Rhine-Westphalia;33,216;158;185;1,268;7.1
Rhineland-Palatinate;6,099;13;149;173;4.2
Saarland;2,597;16;262;135;13.6
Saxony;4,617;25;113;163;4.0
Saxony-Anhalt;1,571;7;71;44;2.0
Schleswig-Holstein;2,728;14;94;112;3.9
Thuringia;2,335;12;109;93;4.3
Total;161,703;945;195;6,575;7.9
