Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;31,609;273;286;1,353;12.2
Bavaria;42,080;250;322;1,799;13.8
Berlin;5,827;93;155;147;3.9
Brandenburg;2,831;63;113;113;4.5
Bremen;827;30;121;29;4.2
Hamburg;4,562;37;248;155;8.4
Hesse;8,304;120;133;353;5.6
Mecklenburg-Western;;;;;
;690;3;43;17;1.1
Pomerania;;;;;
Lower Saxony;10,067;95;126;416;5.2
North Rhine-Westphalia;32,687;258;182;1,219;6.8
Rhineland-Palatinate;6,029;47;148;166;4.1
Saarland;2,552;38;258;131;13.2
Saxony;4,561;52;112;156;3.8
Saxony-Anhalt;1,549;24;70;43;1.9
Schleswig-Holstein;2,690;11;93;106;3.7
Thuringia;2,254;84;105;85;4.0
Total;159,119;1,478;191;6,288;7.6
