Unnamed: 0,Number of manually,Electronically submitted cases
Federal State,,
,reported cases,Number cases/100.000 pop.
Baden-Württemberg,569,506 5
Bavaria,681,605 5
Berlin,216,216 6
Brandenburg,61,57 2
Bremen,50,50 7
Hamburg,158,119 6
Hesse,203,141 2
Mecklenburg-Western,45,23 1
Pomerania,,
Lower Saxony,253,187 2
North Rhine-Westphalia,"1,154","1,154 6"
Rhineland-Palatinate,121,121 3
Saarland,40,31 3
Saxony,93,86 2
Saxony-Anhalt,45,40 2
Schleswig-Holstein,60,54 2
Thuringia,46,31 1
Total,"3,795","3,421 4"
