Unnamed: 0;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4;7-day;Unnamed: 6;Unnamed: 7
;Total;Number;;Cases in;;;Number of
;;;Cases/;;incidence;Number;
Federal State;number;of new;;the last;;;deaths/
;;;100,000 pop.;;per 100,000;of deaths;
;of cases;cases;;7 days;;;100,000 pop.
;;;;;pop.;;
Baden-Wuerttemberg;34,958;21;316;162;1.5;1,795;16.2
Bavaria;47,423;52;363;305;2.3;2,521;19.3
Berlin;7,042;26;188;200;5.3;205;5.5
Brandenburg;3,302;-2;131;24;1.0;160;6.4
Bremen;1,532;1;224;96;14.1;43;6.3
Hamburg;5,117;2;278;21;1.1;254;13.8
Hesse;10,237;30;163;159;2.5;484;7.7
Mecklenburg-Western;;;;;;;
Pomerania;780;6;48;13;0.8;20;1.2
Lower Saxony;12,601;92;158;485;6.1;606;7.6
North Rhine-;;;;;;;
Westphalia;38,743;83;216;633;3.5;1,635;9.1
Rhineland-Palatinate;6,787;6;166;79;1.9;230;5.6
Saarland;2,754;7;278;22;2.2;167;16.9
Saxony;5,333;3;131;30;0.7;217;5.3
Saxony-Anhalt;1,720;0;78;12;0.5;56;2.5
Schleswig-Holstein;3,114;4;108;10;0.3;148;5.1
Thuringia;3,100;19;145;73;3.4;170;7.9
Total;184,543;350;222;2,324;2.8;8,711;10.5
