https://corona.rki.de
""
Table 1: Number and cumulative incidence (per 100,000 population) of notified laboratory-confirmed COVID-19-cases and
deaths per federal state, Germany (02/04/2020, 12:00 AM)
Electronically notified cases
Federal State Total Number Number of Cases/100,000 Number of
of cases new cases pop. deaths
Baden-Wuerttemberg 14,662 1,252 132 241
Bavaria 18,496 1,999 141 268
Berlin 2,970 216 79 19
Brandenburg 995 114 40 7
Bremen 327 16 48 6
Hamburg 2,406 95 131 14
Hesse 3,707 262 59 27
Mecklenburg-Western Pomerania  438 32 27 3
Lower Saxony 4,695 313 59 45
North Rhine-Westphalia 15,427 1,076 86 161
Rhineland-Palatinate 3,132 233 77 26
Saarland 1,020 191 103 11
Saxony 2,183 149 54 18
Saxony-Anhalt 804 54 36 8
Schleswig-Holstein 1,335 89 46 11
Thuringia 925 65 43 7
Total 73,522 6,156 88 872
