https://corona.rki.de;Unnamed: 1;Unnamed: 2;Unnamed: 3;Unnamed: 4
;;;;
;Total Number;Number of;Cases/100,000;Number of
Federal State;;;;
;of cases;new cases;pop.;deaths
Baden-Wuerttemberg;24,078;461;218;649
Bavaria;32,282;829;247;786
Berlin;4,567;109;122;50
Brandenburg;1,857;93;74;38
Bremen;480;11;70;15
Hamburg;3,742;79;203;56
Hesse;5,859;51;94;123
Mecklenburg-Western Pomerania;605;4;38;11
Lower Saxony;7,602;259;95;189
North Rhine-Westphalia;24,267;623;135;495
Rhineland-Palatinate;4,734;112;116;64
Saarland;2,058;42;208;43
Saxony;3,600;35;88;67
Saxony-Anhalt;1,166;31;53;21
Schleswig-Holstein;2,118;53;73;41
Thuringia;1,464;29;68;25
Total;120,479;2,821;145;2,673
