7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 35,057;55;;;317 160;;;1.4;;;1,802;;16.3
Bavaria 47,574;38;;;364 289;;;2.2;;;2,538;;19.4
Berlin 7,165;27;;;191 199;;;5.3;;;208;;5.5
Brandenburg 3,306;-46*;;;132 25;;;1.0;;;161;;6.4
Bremen 1,573;8;;;230 75;;;11.0;;;45;;6.6
Hamburg 5,134;9;;;279 21;;;1.1;;;254;;13,.8
Hesse 10,313;17;;;165 148;;;2.4;;;489;;7.8
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 780;2;;;48 16;;;1.0;;;20;;1.2
Lower Saxony 12,777;50;;;160 384;;;4.8;;;610;;7.6
North Rhine-;;;;;;;;;;;;
Westphalia 39,060;77;;;218 635;;;3.5;;;1,643;;9.2
Rhineland-Palatinate 6,827;0**;;;167 67;;;1.6;;;231;;5.7
Saarland 2,769;3;;;280 31;;;3.1;;;168;;17.0
Saxony 5,344;-2;;;131 23;;;0.6;;;219;;5.4
Saxony-Anhalt 1,732;4;;;78 15;;;0.7;;;56;;2.5
Schleswig-Holstein 3,120;3;;;108 15;;;0.5;;;148;;5.1
Thuringia 3,143;13;;;147 78;;;3.6;;;171;;8.0
Total 185,674;258;;;223 2,181;;;2.6;;;8,763;;10.5
