7-day Total Number Federal State number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 35,090;33.0;;;317 153;;;1.4;;;1,805;;16.3
Bavaria 47,612;38.0;;;364 273;;;2.1;;;2,540;;19.4
Berlin 7,252;87.0;;;193 254;;;6.8;;;208;;5.5
Brandenburg 3,326;20.0;;;132 29;;;1.2;;;163;;6.5
Bremen 1,581;;8.0;;231 68;;;10.0;;;45;;6.6
Hamburg 5,139;;5.0;;279 22;;;1.2;;;255;;13.8
Hesse 10,321;;8.0;;165 131;;;2.1;;;491;;7.8
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 781;;1.0;;49 14;;;0.9;;;20;;1.2
Lower Saxony 12,822;45.0;;;161 339;;;4.2;;;613;;7.7
North Rhine-;;;;;;;;;;;;
Westphalia 39,137;77.0;;;218 599;;;3.3;;;1,643;;9.2
Rhineland-Palatinate 6,838;11.0;;;167 56;;;1.4;;;231;;5.7
Saarland 2,770;;1.0;;280 27;;;2.7;;;168;;17.0
Saxony 5,345;;1.0;;131 21;;;0.5;;;219;;5.4
Saxony-Anhalt 1,734;;2.0;;79 15;;;0.7;;;56;;2.5
Schleswig-Holstein 3,120;;0.0;;108 13;;;0.4;;;150;;5.2
Thuringia 3,154;11.0;;;147 69;;;3.2;;;174;;8.1
Total 186,022;348.0;;;224 2,083;;;2.5;;;8,781;;10.6
