Unnamed: 0;Total;Number;Unnamed: 3;Cases in;Unnamed: 5;Unnamed: 6;Number of
;;;Cases/;;7-day;Number;
Federal State;Number;of new;;the last;;;deaths/
;;;100,000 pop.;;incidence;of deaths;
;of cases;cases;;7 days;;;100,000 pop.
Baden-;;;;;;;
Wuerttemberg;34,175;60;309;389;3.5;1,680;15.2
Bavaria;45,929;163;351;798;6.1;2,348;18.0
Berlin;6,555;48;175;173;4.6;186;5.0
Brandenburg;3,205;12;128;41;1.6;151;6.0
Bremen;1,273;17;186;120;17.6;39;5.7
Hamburg;5,053;11;274;36;2.0;239;13.0
Hesse;9,574;91;153;388;6.2;451;7.2
Mecklenburg-;;;;;;;
Western;;;;;;;
Pomerania;762;7;47;23;1.4;20;1.2
Lower Saxony;11,362;74;142;257;3.2;566;7.1
North Rhine-;;;;;;;
Westphalia;36,912;146;206;1,112;6.2;1,546;8.6
Rhineland-;;;;;;;
Palatinate;6,555;26;160;147;3.6;224;5.5
Saarland;2,706;3;273;27;2.7;157;15.9
Saxony;5,185;35;127;132;3.2;201;4.9
Saxony-Anhalt;1,689;9;76;26;1.2;54;2.4
Schleswig-Holstein;3,021;7;104;34;1.2;134;4.6
Thuringia;2,796;36;130;127;5.9;151;7.0
Total;176,752;745;213;3,830;4.6;8,147;9.8
