7-day Total Number Federal State Number of deaths of cases;Number of new cases;Unnamed: 2;Unnamed: 3;Number of Cases/ deaths/ 100,000 pop. Cases in the last 7 days;Unnamed: 5;Unnamed: 6;incidence per 100,000 100,000 pop. pop.;Unnamed: 8;Unnamed: 9;Unnamed: 10;Unnamed: 11;Unnamed: 12
Baden-Wuerttemberg 34,898;28.0;;;315 138;;;1.2;;;1,790;;16,2
Bavaria 47,326;58.0;;;362 362;;;2.8;;;2,489;;19,0
Berlin 6,964;18.0;;;186 175;;;4.7;;;201;;5,4
Brandenburg 3,294;;6.0;;131 18;;;0.7;;;158;;6,3
Bremen 1,513;15.0;;;222 109;;;16.0;;;44;;6,4
Hamburg 5,111;;4.0;;278 24;;;1.3;;;254;;13,8
Hesse 10,171;;8.0;;162 141;;;2.3;;;483;;7,7
Mecklenburg-Western;;;;;;;;;;;;
Pomerania 766;;2.0;;48;5.0;;0.3;;;20;;1,2
Lower Saxony 12,399;122.0;;;155 408;;;5.1;;;605;;7,6
North Rhine-;;;;;;;;;;;;
Westphalia 38,524;85.0;;;215 585;;;3.3;;;1,622;;9,0
Rhineland-Palatinate 6,761;29.0;;;166 68;;;1.7;;;230;;5,6
Saarland 2,740;;2.0;;277 16;;;1.6;;;166;;16,8
Saxony 5,321;;6.0;;130 22;;;0.5;;;212;;5,2
Saxony-Anhalt 1,717;;5.0;;78 12;;;0.5;;;55;;2,5
Schleswig-Holstein 3,107;;4.0;;107 15;;;0.5;;;147;;5,1
Thuringia 3,066;15.0;;;143 62;;;2.9;;;170;;7,9
Total 183,678;407.0;;;221 2,160;;;2.6;;;8,646;;10,4
