Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;33,105;207;299;1,534;13.9
Bavaria;44,169;264;338;2,147;16.4
Berlin;6,242;33;167;164;4.4
Brandenburg;3,098;61;123;133;5.3
Bremen;1,024;27;150;32;4.7
Hamburg;4,772;19;259;204;11.1
Hesse;8,916;66;142;408;6.5
Mecklenburg-Western;;;;;
;722;4;45;19;1.2
Pomerania;;;;;
Lower Saxony;10,803;117;135;496;6.2
North Rhine-Westphalia;34,817;295;194;1,424;7.9
Rhineland-Palatinate;6,282;41;154;195;4.8
Saarland;2,660;2;269;142;14.3
Saxony;4,873;34;119;186;4.6
Saxony-Anhalt;1,637;22;74;48;2.2
Schleswig-Holstein;2,898;38;100;122;4.2
Thuringia;2,533;21;118;115;5.4
Total;168,551;1,251;203;7,369;8.9
