Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;33,518;159;303;1,594;14.4
Bavaria;44,802;209;343;2,209;16.9
Berlin;6,298;24;168;170;4.5
Brandenburg;3,125;14;124;137;5.5
Bremen;1,077;19;158;36;5.3
Hamburg;4,972;12;270;223;12.1
Hesse;9,087;56;145;419;6.7
Mecklenburg-Western;;;;;
;736;7;46;20;1.2
Pomerania;;;;;
Lower Saxony;10,903;8;137;508;6.4
North Rhine-Westphalia;35,555;222;198;1,473;8.2
Rhineland-Palatinate;6,360;5;156;207;5.1
Saarland;2,667;2;269;144;14.5
Saxony;4,962;15;122;191;4.7
Saxony-Anhalt;1,650;2;75;52;2.4
Schleswig-Holstein;2,972;16;103;125;4.3
Thuringia;2,622;28;122;126;5.9
Total;171,306;798;206;7,634;9.2
