Unnamed: 0;Total;Unnamed: 2;Unnamed: 3;Unnamed: 4;Unnamed: 5
;;Number of;Cases/100,000;Number of;Number of deaths/
Federal State;Number of;;;;
;;new cases;pop.;deaths;100,000 pop.
;cases;;;;
Baden-Wuerttemberg;32,576;94;294;1,481;13.4
Bavaria;43,371;209;332;2,001;15.3
Berlin;6,092;50;163;159;4.2
Brandenburg;2,969;29;118;127;5.1
Bremen;916;21;134;31;4.5
Hamburg;4,664;20;253;190;10.3
Hesse;8,642;57;138;386;6.2
Mecklenburg-Western;;;;;
;711;8;44;19;1.2
Pomerania;;;;;
Lower Saxony;10,453;73;131;470;5.9
North Rhine-Westphalia;33,977;249;189;1,358;7.6
Rhineland-Palatinate;6,191;31;152;187;4.6
Saarland;2,627;9;265;141;14.2
Saxony;4,784;39;117;177;4.3
Saxony-Anhalt;1,590;5;72;46;2.1
Schleswig-Holstein;2,815;16;97;119;4.1
Thuringia;2,429;37;113;104;4.9
Total;164,807;947;198;6,996;8.4
