"Baden-Württemberg";34.034;34;307;1.653;14.9
"Bavaria";45.639;132;349;2.314;17.7
"Berlin";6.478;20;173;182;4.9
"Brandenburg";3.185;13;127;150;6.0
"Bremen";1.237;66;181;38;5.6
"Hamburg";5.042;5;274;232;12.6
"Hesse";9.368;31;150;442;7.1
"Mecklenburg-Western Pomerania"Pomerania;;;;;
"Lower Saxony";11.207;40;140;548;6.9
"North Rhine-Westphalia";36.485;120;203;1.525;8.5
"Rhineland-Palatinate";6.520;30;160;222;5.4
"Saarland";2.699;3;272;154;15.5
"Saxony";5.133;8;126;198;4.9
"Saxony-Anhalt";1.679;1;76;54;2.4
"Schleswig-Holstein";3.002;0;104;128;4.4
"Thuringia";2.750;10;128;147;6.9
