"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-07","Baden-Wuerttemberg",20141,"746",746,182.0,433
"2020-04-07","Bavaria",26163,"1,189",1189,200.0,481
"2020-04-07","Berlin",3845,"175",175,103.0,28
"2020-04-07","Brandenburg",1384,"39",39,55.0,20
"2020-04-07","Bremen",399,"2",2,58.0,9
"2020-04-07","Hamburg",3059,"66",66,166.0,20
"2020-04-07","Hesse",4837,"163",163,77.0,73
"2020-04-07","Mecklenburg-Western Pomerania",531,"3",3,33.0,8
"2020-04-07","Lower Saxony",6200,"240",240,78.0,111
"2020-04-07","North Rhine-Westphalia",20220,"836",836,113.0,282
"2020-04-07","Rhineland-Palatinate",3992,"110",110,98.0,34
"2020-04-07","Saarland",1532,"49",49,155.0,16
"2020-04-07","Saxony",2997,"94",94,73.0,38
"2020-04-07","Saxony-Anhalt",987,"31",31,45.0,12
"2020-04-07","Schleswig-Holstein",1730,"59",59,60.0,24
"2020-04-07","Thuringia",1208,"32",32,56.0,18
