"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-17","Baden-Württemberg",26543,662,240.0,872
"2020-04-17","Bavaria",36027,885,276.0,1
"2020-04-17","Berlin",4945,97,132.0,84
"2020-04-17","Brandenburg",2120,62,84.0,60
"2020-04-17","Bremen",556,49,81.0,22
"2020-04-17","Hamburg",4005,52,218.0,84
"2020-04-17","Hesse",6705,235,107.0,197
"2020-04-17","Mecklenburg-Western Pomerania",634,0,39.0,13
"2020-04-17","Lower Saxony",8442,254,106.0,274
"2020-04-17","North Rhine-Westphalia",27030,647,151.0,726
"2020-04-17","Rhineland-Palatinate",5211,124,128.0,92
"2020-04-17","Saarland",2254,53,228.0,76
"2020-04-17","Saxony",4048,93,99.0,95
"2020-04-17","Saxony-Anhalt",1279,31,58.0,28
"2020-04-17","Schleswig-Holstein",2349,55,81.0,59
"2020-04-17","Thuringia",1682,81,78.0,49
