"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-06","Baden-Württemberg",19395,"781",781,175.0,387
"2020-04-06","Bavaria",24974,"1,128",1128,191.0,437
"2020-04-06","Berlin",3670,"57",57,98.0,26
"2020-04-06","Brandenburg",1345,"40",40,54.0,19
"2020-04-06","Bremen",397,"3",3,58.0,8
"2020-04-06","Hamburg",2993,"48",48,163.0,19
"2020-04-06","Hesse",4674,"99",99,75.0,61
"2020-04-06","Mecklenburg-Western Pomerania",528,"5",5,33.0,6
"2020-04-06","Lower Saxony",5960,"248",248,75.0,92
"2020-04-06","North Rhine-Westphalia",19384,"649",649,108.0,255
"2020-04-06","Rhineland-Palatinate",3882,"219",219,95.0,32
"2020-04-06","Saarland",1483,"125",125,150.0,14
"2020-04-06","Saxony",2903,"162",162,71.0,34
"2020-04-06","Saxony-Anhalt",956,"37",37,43.0,12
"2020-04-06","Schleswig-Holstein",1671,"40",40,58.0,20
"2020-04-06","Thuringia",1176,"36",36,55.0,12
