"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-21","Baden-Württemberg",3668,922,33.0,16
"2020-03-21","Bavaria",2960,559,23.0,19
"2020-03-21","Berlin",866,135,23.0,1
"2020-03-21","Brandenburg",254,62,10.0,0
"2020-03-21","Bremen",142,21,21.0,0
"2020-03-21","Hamburg",587,1,32.0,0
"2020-03-21","Hesse",1080,267,17.0,2
"2020-03-21","Mecklenburg-Western Pomerania",165,34,10.0,0
"2020-03-21","Lower Saxony",1023,220,13.0,0
"2020-03-21","North Rhine-Westphalia",3542,45,20.0,6
"2020-03-21","Rhineland-Palatinate",938,137,23.0,1
"2020-03-21","Saarland",187,41,19.0,0
"2020-03-21","Saxony",567,173,14.0,0
"2020-03-21","Saxony-Anhalt",188,8,9.0,1
"2020-03-21","Schleswig-Holstein",308,42,11.0,1
"2020-03-21","Thuringia",187,38,9.0,0
