"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-19","Baden-Württemberg",2,546,19.47,6
"2020-03-19","Bavaria",1,449,12.94,8
"2020-03-19","Berlin",573,182,15.29,0
"2020-03-19","Brandenburg",134,42,5.33,0
"2020-03-19","Bremen",80,11,11.71,0
"2020-03-19","Hamburg",432,74,23.46,0
"2020-03-19","Hesse",682,250,10.88,0
"2020-03-19","Mecklenburg-Western Pomerania",98,42,6.09,0
"2020-03-19","Lower Saxony",669,191,8.38,0
"2020-03-19","North Rhine-Westphalia",3,661,16.91,6
"2020-03-19","Rhineland-Palatinate",637,163,15.59,0
"2020-03-19","Saarland",99,11,9.99,0
"2020-03-19","Saxony",275,77,6.74,0
"2020-03-19","Saxony-Anhalt",140,35,6.34,0
"2020-03-19","Schleswig-Holstein",202,43,6.97,0
"2020-03-19","Thuringia",98,24,4.57,0
