"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-18","Baden-Württemberg",27258,715,246.0,919
"2020-04-18","Bavaria",36881,854,282.0,1
"2020-04-18","Berlin",5066,121,135.0,91
"2020-04-18","Brandenburg",2161,41,86.0,62
"2020-04-18","Bremen",567,11,83.0,24
"2020-04-18","Hamburg",4118,113,224.0,90
"2020-04-18","Hesse",6916,211,110.0,212
"2020-04-18","Mecklenburg-Western Pomerania",645,11,40.0,14
"2020-04-18","Lower Saxony",8649,207,108.0,281
"2020-04-18","North Rhine-Westphalia",28006,976,156.0,791
"2020-04-18","Rhineland-Palatinate",5324,113,130.0,99
"2020-04-18","Saarland",2289,35,231.0,86
"2020-04-18","Saxony",4140,92,102.0,103
"2020-04-18","Saxony-Anhalt",1315,36,60.0,29
"2020-04-18","Schleswig-Holstein",2387,38,82.0,61
"2020-04-18","Thuringia",1716,35,80.0,50
