"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-03-28","Baden-Wuerttemberg",9781,"1,620",1620,88.0,101
"2020-03-28","Bavaria",11150,"1,669",1669,85.0,77
"2020-03-28","Berlin",2161,"206",206,58.0,8
"2020-03-28","Brandenburg",645,"108",108,26.0,1
"2020-03-28","Bremen",260,"19",19,38.0,2
"2020-03-28","Hamburg",1765,"72",72,96.0,2
"2020-03-28","Hesse",2604,"281",281,42.0,9
"2020-03-28","Mecklenburg-Western Pomerania",308,"49",49,19.0,0
"2020-03-28","Lower Saxony",3150,"340",340,39.0,12
"2020-03-28","North Rhine-Westphalia",10607,"1,372",1372,59.0,80
"2020-03-28","Rhineland-Palatinate",2212,"241",241,54.0,11
"2020-03-28","Saarland",550,"45",45,56.0,2
"2020-03-28","Saxony",1432,"127",127,35.0,9
"2020-03-28","Saxony-Anhalt",458,"0",0,21.0,2
"2020-03-28","Schleswig-Holstein",915,"103",103,32.0,4
"2020-03-28","Thuringia",584,"42",42,27.0,5
