"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-03-30","Baden-Wuerttemberg",10943,"1,149",1149,99.0,119
"2020-03-30","Bavaria",13989,"1,108",1108,107.0,127
"2020-03-30","Berlin",2464,"104",104,66.0,11
"2020-03-30","Brandenburg",761,"40",40,30.0,2
"2020-03-30","Bremen",286,"11",11,42.0,2
"2020-03-30","Hamburg",2053,"207",207,112.0,5
"2020-03-30","Hesse",3091,"486",486,49.0,13
"2020-03-30","Mecklenburg-Western Pomerania",356,"8",8,22.0,1
"2020-03-30","Lower Saxony",3732,"282",282,47.0,26
"2020-03-30","North Rhine-Westphalia",12178,"778",778,68.0,101
"2020-03-30","Rhineland-Palatinate",2584,"188",188,63.0,18
"2020-03-30","Saarland",706,"146",146,71.0,7
"2020-03-30","Saxony",1795,"178",178,44.0,9
"2020-03-30","Saxony-Anhalt",592,"0",0,27.0,2
"2020-03-30","Schleswig-Holstein",1049,"44",44,36.0,7
"2020-03-30","Thuringia",719,"22",22,34.0,5
