"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5
"2020-05-14","Baden-Württemberg",33670,152,304.0,1,14.5
"2020-05-14","Bavaria",44980,178,344.0,2,17.0
"2020-05-14","Berlin",6342,44,169.0,173,4.6
"2020-05-14","Brandenburg",3135,10,125.0,138,5.5
"2020-05-14","Bremen",1104,27,162.0,37,5.4
"2020-05-14","Hamburg",4976,4,270.0,228,12.4
"2020-05-14","Hesse",9169,82,146.0,423,6.8
"2020-05-14","Mecklenburg-Western Pomerania",739,3,46.0,20,1.2
"2020-05-14","Lower Saxony",11003,100,138.0,524,6.6
"2020-05-14","North Rhine-Westphalia",35741,186,199.0,1,8.3
"2020-05-14","Rhineland-Palatinate",6382,22,156.0,212,5.2
"2020-05-14","Saarland",2677,10,270.0,145,14.6
"2020-05-14","Saxony",5031,69,123.0,195,4.8
"2020-05-14","Saxony-Anhalt",1656,6,75.0,52,2.4
"2020-05-14","Schleswig-Holstein",2981,10,103.0,125,4.3
"2020-05-14","Thuringia",2651,30,124.0,131,6.1
