"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-20","Baden-Württemberg",2746,591,25.0,10
"2020-03-20","Bavaria",2401,709,18.0,12
"2020-03-20","Berlin",731,158,20.0,0
"2020-03-20","Brandenburg",192,58,8.0,0
"2020-03-20","Bremen",121,41,18.0,0
"2020-03-20","Hamburg",586,154,32.0,0
"2020-03-20","Hesse",813,131,13.0,1
"2020-03-20","Mecklenburg-Western Pomerania",131,33,8.0,0
"2020-03-20","Lower Saxony",803,134,10.0,0
"2020-03-20","North Rhine-Westphalia",3497,464,20.0,6
"2020-03-20","Rhineland-Palatinate",801,164,20.0,1
"2020-03-20","Saarland",146,47,15.0,0
"2020-03-20","Saxony",394,119,10.0,0
"2020-03-20","Saxony-Anhalt",180,40,8.0,0
"2020-03-20","Schleswig-Holstein",266,64,9.0,1
"2020-03-20","Thuringia",149,51,7.0,0
