"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5
"2020-05-13","Baden-Württemberg",33518,159,303.0,1,14.4
"2020-05-13","Bavaria",44802,209,343.0,2,16.9
"2020-05-13","Berlin",6297,24,168.0,170,4.5
"2020-05-13","Brandenburg",3125,14,124.0,137,5.5
"2020-05-13","Bremen",1077,19,158.0,36,5.3
"2020-05-13","Hamburg",4971,12,270.0,223,12.1
"2020-05-13","Hesse",9087,56,145.0,419,6.7
"2020-05-13","Mecklenburg-Western Pomerania",736,7,46.0,20,1.2
"2020-05-13","Lower Saxony",10902,8,137.0,508,6.4
"2020-05-13","North Rhine-Westphalia",35555,222,198.0,1,8.2
"2020-05-13","Rhineland-Palatinate",6360,5,156.0,207,5.1
"2020-05-13","Saarland",2667,2,269.0,144,14.5
"2020-05-13","Saxony",4962,15,122.0,191,4.7
"2020-05-13","Saxony-Anhalt",1650,2,75.0,52,2.4
"2020-05-13","Schleswig-Holstein",2972,16,103.0,125,4.3
"2020-05-13","Thuringia",2622,28,122.0,126,5.9
