"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-03-23","Baden-Württemberg",3811,"4",4,34.0,21
"2020-03-23","Bavaria",4892,"1,242",1242,37.0,26
"2020-03-23","Berlin",1077,"53",53,29.0,1
"2020-03-23","Brandenburg",288,"14",14,11.0,0
"2020-03-23","Bremen",170,"5",5,25.0,0
"2020-03-23","Hamburg",943,"71",71,51.0,0
"2020-03-23","Hesse",1347,"172",172,21.0,3
"2020-03-23","Mecklenburg-Western Pomerania",172,"0",0,11.0,0
"2020-03-23","Lower Saxony",1483,"177",177,19.0,4
"2020-03-23","North Rhine-Westphalia",5615,"2,070",2070,31.0,28
"2020-03-23","Rhineland-Palatinate",1177,"124",124,29.0,2
"2020-03-23","Saarland",200,"13",13,20.0,0
"2020-03-23","Saxony",653,"47",47,16.0,0
"2020-03-23","Saxony-Anhalt",212,"1",1,10.0,0
"2020-03-23","Schleswig-Holstein",383,"36",36,13.0,1
"2020-03-23","Thuringia",249,"33",33,12.0,0
