"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-03","Baden-Wuerttemberg",16059,"1,397",1397,145.0,285
"2020-04-03","Bavaria",20237,"1,741",1741,155.0,307
"2020-04-03","Berlin",3202,"232",232,85.0,20
"2020-04-03","Brandenburg",1075,"80",80,43.0,9
"2020-04-03","Bremen",341,"14",14,50.0,6
"2020-04-03","Hamburg",2596,"190",190,141.0,16
"2020-04-03","Hesse",3993,"286",286,64.0,33
"2020-04-03","Mecklenburg-Western Pomerania",468,"30",30,29.0,4
"2020-04-03","Lower Saxony",5081,"386",386,64.0,65
"2020-04-03","North Rhine-Westphalia",16606,"1,179",1179,93.0,178
"2020-04-03","Rhineland-Palatinate",3362,"230",230,82.0,26
"2020-04-03","Saarland",1079,"59",59,109.0,12
"2020-04-03","Saxony",2336,"153",153,57.0,21
"2020-04-03","Saxony-Anhalt",836,"32",32,38.0,11
"2020-04-03","Schleswig-Holstein",1443,"108",108,50.0,15
"2020-04-03","Thuringia",982,"57",57,46.0,9
