"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-03-17","Baden-Württemberg",1479,417,13.4,2
"2020-03-17","Bavaria",1109,144,8.5,4
"2020-03-17","Berlin",345,45,9.2,0
"2020-03-17","Brandenburg",73,8,2.9,0
"2020-03-17","Bremen",57,1,8.3,0
"2020-03-17","Hamburg",310,55,16.8,0
"2020-03-17","Hesse",373,132,6.0,0
"2020-03-17","Mecklenburg-Western Pomerania",45,9,2.8,0
"2020-03-17","Lower Saxony",325,53,4.1,0
"2020-03-17","North Rhine-Westphalia",2105,564,11.7,6
"2020-03-17","Rhineland-Palatinate",442,117,10.8,0
"2020-03-17","Saarland",75,43,7.6,0
"2020-03-17","Saxony",182,79,4.5,0
"2020-03-17","Saxony-Anhalt",58,18,2.6,0
"2020-03-17","Schleswig-Holstein",127,23,4.4,0
"2020-03-17","Thuringia",51,15,2.4,0
