"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths"
"2020-04-21","Baden-Wuerttemberg",28712,459,259.0,1
"2020-04-21","Bavaria",38310,461,293.0,1
"2020-04-21","Berlin",5237,41,140.0,97
"2020-04-21","Brandenburg",2275,37,91.0,67
"2020-04-21","Bremen",609,5,89.0,25
"2020-04-21","Hamburg",4204,19,228.0,91
"2020-04-21","Hesse",7231,54,115.0,251
"2020-04-21","Mecklenburg-Western Pomerania",655,2,41.0,15
"2020-04-21","Lower Saxony",9097,198,114.0,306
"2020-04-21","North Rhine-Westphalia",29389,418,164.0,896
"2020-04-21","Rhineland-Palatinate",5561,38,136.0,116
"2020-04-21","Saarland",2328,14,235.0,93
"2020-04-21","Saxony",4253,24,104.0,117
"2020-04-21","Saxony-Anhalt",1383,14,63.0,32
"2020-04-21","Schleswig-Holstein",2414,-12,83.0,70
"2020-04-21","Thuringia",1798,13,84.0,55
