"Date","Region","Total confirmed cases","New cases","Population Incidence Ratio","Total deaths",5
"2020-05-11","Baden-Württemberg",33190,-97,300.0,1,14.0
"2020-05-11","Bavaria",44368,103,339.0,2,16.5
"2020-05-11","Berlin",6272,11,167.0,165,4.4
"2020-05-11","Brandenburg",3106,5,124.0,134,5.3
"2020-05-11","Bremen",1055,12,154.0,34,5.0
"2020-05-11","Hamburg",4780,8,260.0,204,11.1
"2020-05-11","Hesse",9012,14,144.0,412,6.6
"2020-05-11","Mecklenburg-Western Pomerania",728,2,45.0,19,1.2
"2020-05-11","Lower Saxony",10854,27,136.0,498,6.2
"2020-05-11","North Rhine-Westphalia",35132,168,196.0,1,8.0
"2020-05-11","Rhineland-Palatinate",6313,22,155.0,195,4.8
"2020-05-11","Saarland",2665,2,269.0,142,14.3
"2020-05-11","Saxony",4915,29,121.0,187,4.6
"2020-05-11","Saxony-Anhalt",1643,3,74.0,48,2.2
"2020-05-11","Schleswig-Holstein",2957,19,102.0,124,4.3
"2020-05-11","Thuringia",2585,29,121.0,118,5.5
