"Date","Region","Total confirmed cases","First","New cases","Population Incidence Ratio","Total deaths"
"2020-04-10","Baden-Württemberg",22433,"830",830,203.0,570
"2020-04-10","Bavaria",30363,"1,536",1536,232.0,703
"2020-04-10","Berlin",4349,"147",147,116.0,42
"2020-04-10","Brandenburg",1691,"113",113,67.0,37
"2020-04-10","Bremen",454,"9",9,66.0,13
"2020-04-10","Hamburg",3551,"231",231,193.0,53
"2020-04-10","Hesse",5694,"452",452,91.0,111
"2020-04-10","Mecklenburg-Western Pomerania",586,"14",14,36.0,11
"2020-04-10","Lower Saxony",7114,"310",310,89.0,161
"2020-04-10","North Rhine-Westphalia",23028,"1,067",1067,128.0,446
"2020-04-10","Rhineland-Palatinate",4440,"104",104,109.0,51
"2020-04-10","Saarland",1854,"161",161,187.0,36
"2020-04-10","Saxony",3402,"141",141,83.0,59
"2020-04-10","Saxony-Anhalt",1121,"46",46,51.0,18
"2020-04-10","Schleswig-Holstein",2029,"97",97,70.0,38
"2020-04-10","Thuringia",1416,"65",65,66.0,24
